sampleid,cluster_id,n_cells,celltype1,frac1,celltype2,frac2,celltype3,frac3,method,rank,source,target,score
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,astar_path,6,NFKB1,B2M,0.8901843680068839
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,astar_path,7,MYC,RPL10,0.8886174772880866
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,astar_path,8,JUN,KLF6,0.8886013421708484
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,astar_path,9,TP53,EEF1A1,0.8791848930820584
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,astar_path,10,USF2,B2M,0.8732377816188134
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,scenic,1,JUNB,ZFP36,564.5697675181904
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,scenic,2,JUN,DUSP1,543.5932385816944
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,scenic,3,JUN,FOS,489.3787984519593
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,scenic,4,FOSB,FOS,477.1143789071432
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,scenic,5,FOS,JUN,469.1193142890695
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,scenic,6,FOS,JUNB,465.3827573821873
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,scenic,7,FOS,FOSB,415.8390655102524
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,scenic,8,JUNB,FOS,353.31375954780066
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,scenic,9,JUNB,JUN,272.2553888814935
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,scenic,10,JUN,PPP1R15A,264.0114469174522
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,celloracle,1,EOMES,CCL3,0.15600671
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,celloracle,2,REL,TNFAIP3,0.13482733
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,celloracle,3,KLF3,LTB,0.1304653
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,celloracle,4,JUN,IL7R,0.11964625
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,celloracle,5,FOSB,MYC,0.116837606
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,celloracle,6,ATF3,JUN,0.11348496
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,celloracle,7,NFKB1,LTB,0.1040566
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,celloracle,8,JUN,CREM,0.10053225
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,celloracle,9,NR4A1,JUN,0.092968784
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,celloracle,10,NR3C1,IL7R,0.090366945
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,astar_path,1,JUN,CCL5,1.0
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,astar_path,2,JUND,CCL5,0.9995084241741264
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,astar_path,3,FOS,CCL5,0.9830979008834037
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,astar_path,4,USF2,B2M,0.946838100568544
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,astar_path,5,NFKB1,B2M,0.9307832350306487
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,astar_path,6,IRF1,CCL5,0.9177669644548474
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,astar_path,7,USF1,B2M,0.9150271397039484
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,astar_path,8,IRF1,HLA-A,0.9099077346855656
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,astar_path,9,JUN,CCL4,0.900000043075603
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,astar_path,10,JUN,FOS,0.8969543277055784
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,scenic,1,FOS,FOSB,337.9162146633077
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,scenic,2,FOSB,FOS,254.5906388464869
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,scenic,3,FOS,JUND,243.3921409331867
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,scenic,4,JUN,DUSP1,222.73357459683737
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,scenic,5,JUNB,JUND,174.91112564493216
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,scenic,6,JUN,FOS,154.626342470645
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,scenic,7,FOS,JUN,144.35057822156077
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,scenic,8,FOS,JUNB,136.94301679051645
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,scenic,9,JUNB,FOS,131.66747139373308
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,scenic,10,FOS,CD69,129.8635943913207
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,celloracle,1,MYC,IL7R,0.21801336
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,celloracle,2,JUN,GNLY,0.1693217
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,celloracle,3,EOMES,CCL3,0.13587695
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,celloracle,4,ATF3,JUN,0.09726587
imm_atlas_TT_p01,2,1259,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.5647339158061954,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",0.3232724384432089,gamma-delta T cell,0.0937251787132645,celloracle,5,NR4A1,JUN,0.088813014
