sampleid,cluster_id,method,source,target,rank,score,cluster_rank_for_edge,is_top_cluster_for_edge,fold_vs_max_other_cluster,present_clusters,total_clusters
imm_atlas_TT_p01,0,astar_path,JUN,POLD2,148,0.7259292086579957,2,False,0.9815539944286011,7,7
imm_atlas_TT_p01,0,astar_path,JUN,CD82,149,0.7253653548720451,2,False,0.9730159223923611,7,7
imm_atlas_TT_p01,0,astar_path,JUN,CCL5,150,0.7252041238878393,7,False,0.725204123887114,7,7
imm_atlas_TT_p01,0,astar_path,E2F4,JUN,151,0.7250744470058252,3,False,0.9788776734257422,7,7
imm_atlas_TT_p01,0,astar_path,SP3,UBC,152,0.7238479379230706,3,False,0.9151057978767784,7,7
imm_atlas_TT_p01,0,astar_path,MEF2A,JUN,153,0.7236112857201812,3,False,0.9850776062757532,7,7
imm_atlas_TT_p01,0,astar_path,JUN,RELB,154,0.7228431667249482,4,False,0.971431066088107,7,7
imm_atlas_TT_p01,0,astar_path,ATF2,JUN,155,0.7223255704500416,2,False,0.977547824378642,7,7
imm_atlas_TT_p01,0,astar_path,JUN,NFKB2,156,0.7222790074173187,4,False,0.9394404740061799,7,7
imm_atlas_TT_p01,0,astar_path,E2F4,ACTG1,157,0.7215164150201067,4,False,0.983296854611243,7,7
imm_atlas_TT_p01,0,astar_path,FOS,FOXO3,158,0.721470997281398,1,True,1.0592667178857476,7,7
imm_atlas_TT_p01,0,astar_path,FOXO1,KLF2,159,0.7208433645269683,1,True,1.0659441851034206,5,7
imm_atlas_TT_p01,0,astar_path,STAT3,ZFP36,160,0.7206250868759879,5,False,0.9334594784049063,7,7
imm_atlas_TT_p01,0,astar_path,JUN,CDKN1A,161,0.7197575692925609,3,False,0.9626428012008512,7,7
imm_atlas_TT_p01,0,astar_path,SMAD4,JUN,162,0.7194997785716578,4,False,0.9659206743434083,7,7
imm_atlas_TT_p01,0,astar_path,SP1,JUN,163,0.7193166115063473,3,False,0.9753874113049291,7,7
imm_atlas_TT_p01,0,astar_path,JUN,PPARA,164,0.7190873551365161,3,False,0.9865731379912526,7,7
imm_atlas_TT_p01,0,astar_path,JUN,PDHA1,165,0.718837750802617,3,False,0.9718060866574115,7,7
imm_atlas_TT_p01,0,astar_path,SMAD3,JUN,166,0.7186995346202806,4,False,0.9738263720289719,7,7
imm_atlas_TT_p01,0,astar_path,JUN,FAS,167,0.7183520982434933,4,False,0.9737239896179765,7,7
imm_atlas_TT_p01,0,astar_path,JUN,ATF3,168,0.7179598040894979,4,False,0.8717046187640154,7,7
