track,bin,axis_lo,axis_hi,axis_center,n_cells,mean,sd,sem,ci95_lo,ci95_hi
random,5,0.37912947816559767,0.5439118012205346,0.4615206396930661,18940,0.0009107628933013991,0.001186050086909059,8.618130028480824e-06,0.0008938713584455767,0.0009276544281572215
random,6,0.5439118012205346,0.7215911398057817,0.6327514705131582,18940,0.0009235999485320515,0.0011780851024401978,8.560254503167751e-06,0.0009068218497058427,0.0009403780473582603
random,7,0.7215911398057817,0.9172304299115103,0.819410784858646,18940,0.0009415243548060902,0.001150980908058162,8.363308797349922e-06,0.0009251322695632844,0.000957916440048896
random,8,0.9172304299115103,1.1135011694235204,1.0153657996675154,18940,0.0009741698006789626,0.001123191389079461,8.161383355388597e-06,0.0009581734893024009,0.0009901661120555242
random,9,1.1135011694235204,1.2870143586010128,1.2002577640122665,18940,0.0009622155957868397,0.0010844093486292354,7.879583563744996e-06,0.0009467716120018995,0.0009776595795717798
random,10,1.2870143586010128,1.4342258381533934,1.3606200983772032,18940,0.000981818025111717,0.0010522129622626503,7.64563674546386e-06,0.0009668325770906078,0.000996803473132826
random,11,1.4342258381533934,1.5624624646339582,1.4983441513936757,18940,0.0009693461790618915,0.0010185496760995551,7.4010310744710145e-06,0.0009548401581559282,0.0009838521999678547
random,12,1.5624624646339582,1.6748803291155667,1.6186713968747624,18940,0.000972294581741501,0.0010115284495674105,7.350013125160681e-06,0.0009578885560161861,0.0009867006074668159
random,13,1.6748803291155667,1.7802716489354253,1.727575989025496,18940,0.0009683998637631195,0.0009778117402586925,7.105019268524928e-06,0.0009544740259968107,0.0009823257015294283
random,14,1.7802716489354253,1.8813205996096394,1.8307961242725324,18940,0.0009700605532938602,0.0009674571022371529,7.0297799360107e-06,0.0009562821846192792,0.0009838389219684412
random,15,1.8813205996096394,1.980469355944431,1.9308949777770352,18940,0.0009564579782698392,0.0009391807852622477,6.824317300742618e-06,0.0009430823163603837,0.0009698336401792948
random,16,1.980469355944431,2.0847479910829882,2.0326086735137094,18940,0.0009416979840034431,0.0009352662676881214,6.795873458593833e-06,0.0009283780720245992,0.000955017895982287
random,17,2.0847479910829882,2.199764103795543,2.1422560474392656,18940,0.0009296910829401858,0.0009367853830522563,6.806911722391357e-06,0.0009163495359642988,0.0009430326299160729
random,18,2.199764103795543,2.3368635976407437,2.268313850718143,18940,0.0009227360531442635,0.0009267523741892782,6.734009426010786e-06,0.0009095373946692824,0.0009359347116192446
random,19,2.3368635976407437,2.527805942978178,2.4323347703094607,18940,0.0008977185984052602,0.0009201708330401429,6.686186338236421e-06,0.0008846136731823168,0.0009108235236282036
random,20,2.527805942978178,3.755393999447435,3.1415999712128064,18941,0.0008538231388184465,0.0009200774632781229,6.685331405936158e-06,0.0008407198892628117,0.0008669263883740813
injected IRX4,1,-1.8102460387258819,-0.21418251216153572,-1.012214275443709,18941,0.00012390617745373174,0.0019523792818128864,1.4186090899889037e-05,9.610143928994922e-05,0.00015171091561751426
injected IRX4,2,-0.21418251216153572,0.02681345303646912,-0.0936845295625333,18940,0.00011856375774568146,0.0018438455043413042,1.3397832422284183e-05,9.230400619800446e-05,0.00014482350929335847
injected IRX4,3,0.02681345303646912,0.21145587690206843,0.11913466496926878,18940,0.0001161958411177013,0.001735175201573899,1.2608207422614429e-05,9.148375456937701e-05,0.00014090792766602558
injected IRX4,4,0.21145587690206843,0.37912947816559767,0.29529267753383304,18940,0.00017134149164001525,0.0021547858858801945,1.5657201287718162e-05,0.00014065337711608765,0.00020202960616394285
